Results for molecules from example folder. 6-31G is result for computatuon in 6-31G from https://cccbdb.nist.gov

Name                Basis set 1     Basis set 2(more complex)     6-31G 

1. H2               -1.127087           -1.131352               -1.126828
2. HeH              -3.281785           -3.281884               -
3. LiH              -7.981204           -7.982632               -7.979513
4. Be2              -29.134750          -29.137888              -29.133812
5. B2               -49.001958          -49.011690              -49.062275
6. CO               -112.641762         -112.712700             -112.667222
7. N2               -108.746263         -108.832738             -108.868005
8. O2               -149.462272         -149.525291             -149.545838
9. F2               -198.331208         -198.355887             -198.646097
10. Ne2             -256.465939         -256.468929             -256.947824
11. NaF             -259.511558         -260.972517             -261.287958
12. MgO             -272.382993         -274.083145             -274.303554
13. AlH             -240.141759         -242.125951             -242.426646
14. SiO             -361.045647         -363.382758             -363.703120
15. PH              -337.716964         -340.369302             -341.243494
16. SiO             -468.572559         -471.659544             -472.242603
17. HCl             -455.869560         -459.367297             -460.037173
18. Ar2             -1044.007316        -1051.929697            -1053.544315
19. NaK             -753.121626         -756.734980             -760.956770
20. CaC             -707.232362         -709.616538             -714.437279  
21. TiO             -913.935117         -921.479678             -923.174228
22. Fe              -1248.370896        -1259.646832            -
23. TiO2            -                   -996.539000             -997.978058
24. Benzene         -                   -230.525913             -230.624475
25. H2O             -                   -76.022747              -75.985359
26. Methyl amine    -                   -95.128723              -95.170903
27. O3              -                   -224.247822             -224.138626
28. CO2             -                   -187.600748             -187.514953
29. Chlorobenzene   -685.144107         -688.727798             -689.501938
30. H2SO4           -                   -697.316866             -697.669834
31. Ethanol         -                   -154.026129             -154.013229
